"スキル項目コード","具体的な内容"
"S130010010","デザインパターン"
"S130010050","概念データモデリン"
"S130020030","アジャイル思想"
"S130020070","スクラムプロセス"
"S130020080","VSCode"
"S130080030","テキストマイニング"
"S130080030","テキストを数値化して扱う方法"
"S130100010","プロジェクト計画書作成"
"S130100040","1on1"
"S130100040","幸福度"
"S130100070","ベロシティ"
"S130100070","バーンダウンチャート"
"S130100070","ユーザーストーリー"
"S130100070","スプリントプランニング"
"S130100070","デイリーミーティング"
"S130100070","レトロスペクティブ"
"S150010010","アプリケーションの性質に基づくテスト手法"
"S150010010","テスト自動化技法(Github Actions)"
"S150010010","単体テスト"
"S150010030","モブプログラミング"
"S150110010","i コンピテンシ ディクショナリ"
"S210010030","GUIビルダ(Streamlit)"
"S210010070","Notion APIプログラミング"
"S210010070","Slack APIプログラミング"
"S210010070","OPENAI APIプログラミング"
"S210010070","API環境におけるデバッグ"
"S210010070","Python"
"S210010070","コードから文書を生成する技術"
"S210010080","DevContainer"
"S210020040","テスト駆動開発"
"S210020040","リファクタリング"
"S210030050","自然言語処理"
"S210030050","プロンプトエンジニアリング"
"S210040040","Slack Botの利用"
"S210040040","Notionの利用"
"S210080030","データ設計手法"
"S210200020","Docker"
"S210200020","Google Cloud Platform"
"S210200030","クラウドベースの開発技術"
"S220020040","CI:継続的統合"
"S220020040","CD:継続的デリバリー"
"S220020040","バージョン管理(Git)"
"S220020040","Github"
