"スキル項目コード","専門分野コード"
"S110010010","HI-010-010"
"S110010010","HI-020-010"
"S110010010","HI-030-010"
"S110010010","HU-010-010"
"S110010010","HF-010-010"
"S110010010","HF-010-020"
"S110010010","HF-030-010"
"S110010010","HF-030-020"
"S110010010","HN-010-010"
"S110010010","HN-020-010"
"S110010010","HN-020-020"
"S110010010","HN-030-010"
"S110010010","HP-010-010"
"S110010020","HI-010-010"
"S110010020","HI-020-010"
"S110010020","HI-030-010"
"S110010020","HU-010-010"
"S110010020","HF-010-010"
"S110010020","HF-010-020"
"S110010020","HF-030-010"
"S110010020","HF-030-020"
"S110010020","HN-010-010"
"S110010020","HN-020-010"
"S110010020","HN-020-020"
"S110010020","HN-030-010"
"S110010020","HP-010-010"
"S110010030","HI-020-010"
"S110010030","HI-030-010"
"S110010030","HU-010-010"
"S110010030","HF-010-010"
"S110010030","HF-010-020"
"S110010030","HF-030-010"
"S110010030","HF-030-020"
"S110010030","HN-010-010"
"S110010030","HN-020-010"
"S110010030","HN-020-020"
"S110010030","HN-030-010"
"S110010030","HP-010-010"
"S110010040","HI-010-010"
"S110010040","HI-020-010"
"S110010040","HI-030-010"
"S110010040","HU-010-010"
"S110010040","HF-010-010"
"S110010040","HF-010-020"
"S110010040","HF-030-010"
"S110010040","HF-030-020"
"S110010040","HN-010-010"
"S110010040","HN-020-010"
"S110010040","HN-020-020"
"S110010040","HN-030-010"
"S110010040","HP-010-010"
"S110010050","HI-010-010"
"S110010050","HI-020-010"
"S110010050","HI-030-010"
"S110010050","HU-010-010"
"S110010050","HF-010-010"
"S110010050","HF-010-020"
"S110010050","HF-030-010"
"S110010050","HF-030-020"
"S110010050","HN-010-010"
"S110010050","HN-020-010"
"S110010050","HN-020-020"
"S110010050","HN-030-010"
"S110010050","HP-010-010"
"S110010060","HI-010-010"
"S110010060","HI-030-010"
"S110010060","HU-010-010"
"S110010060","HE-060-010"
"S110010060","HS-010-010"
"S110010060","HS-030-010"
"S110010060","HF-010-010"
"S110010060","HF-010-020"
"S110010060","HF-010-050"
"S110010060","HF-020-010"
"S110010060","HF-030-010"
"S110010060","HF-030-020"
"S110010060","HF-030-060"
"S110010060","HF-040-010"
"S110010060","HF-040-030"
"S110010060","HN-010-010"
"S110010060","HN-020-010"
"S110010060","HN-020-020"
"S110010060","HN-030-010"
"S110010060","HP-010-010"
"S110010060","HP-010-020"
"S110010060","HP-010-030"
"S110010060","HP-010-090"
"S110010070","HN-010-010"
"S110010070","HN-020-010"
"S110010070","HN-020-020"
"S110010070","HN-030-010"
"S110020010","HI-010-010"
"S110020010","HF-020-010"
"S110020010","HF-040-010"
"S110020010","HN-010-010"
"S110020020","HI-010-010"
"S110020020","HF-020-010"
"S110020020","HF-040-010"
"S110020020","HF-040-020"
"S110020020","HF-040-030"
"S110020020","HN-010-010"
"S110020030","HI-010-010"
"S110020030","HF-020-010"
"S110020030","HF-030-020"
"S110020030","HF-040-010"
"S110020030","HN-010-010"
"S110020030","HN-010-020"
"S110020040","HI-010-010"
"S110020040","HF-020-010"
"S110020040","HF-030-020"
"S110020040","HF-040-010"
"S110020040","HN-010-010"
"S110020040","HN-010-020"
"S110030010","HI-010-010"
"S110030010","HI-030-010"
"S110030010","HI-110-010"
"S110030010","HE-010-010"
"S110030010","HF-010-010"
"S110030010","HF-010-020"
"S110030010","HF-020-010"
"S110030010","HF-030-010"
"S110030010","HF-030-020"
"S110030010","HN-010-010"
"S110030010","HN-010-020"
"S110030020","HI-010-010"
"S110030020","HI-030-010"
"S110030020","HI-090-010"
"S110030020","HI-090-020"
"S110030020","HI-100-010"
"S110030020","HI-110-010"
"S110030020","HU-090-010"
"S110030020","HE-010-010"
"S110030020","HF-010-010"
"S110030020","HF-010-020"
"S110030020","HF-020-010"
"S110030020","HF-030-010"
"S110030020","HF-030-020"
"S110030020","HF-030-040"
"S110030020","HF-040-020"
"S110030020","HF-040-030"
"S110030020","HN-010-010"
"S110030020","HN-010-020"
"S110030020","HN-010-030"
"S110030030","HI-010-010"
"S110030030","HI-030-010"
"S110030030","HI-090-010"
"S110030030","HI-090-020"
"S110030030","HI-110-010"
"S110030030","HU-090-010"
"S110030030","HE-010-010"
"S110030030","HF-010-010"
"S110030030","HF-010-020"
"S110030030","HF-020-010"
"S110030030","HF-030-010"
"S110030030","HF-030-020"
"S110030030","HF-030-040"
"S110030030","HF-040-020"
"S110030030","HF-040-030"
"S110030030","HN-010-010"
"S110030030","HN-010-020"
"S110030030","HN-010-030"
"S110030040","HI-010-010"
"S110030040","HI-030-010"
"S110030040","HI-110-010"
"S110030040","HE-010-010"
"S110030040","HF-010-010"
"S110030040","HF-010-020"
"S110030040","HF-020-010"
"S110030040","HF-030-010"
